author.username,content
author4,Can you sent link to where you found that?
author5,2 or 3
author4,How many free actions do you get in a round?
author7,^ randalls 10
author7,^ my 10
author4,🇧 ingmaker or WotW?
author4,Yeah I'm down
author5,Alright TJ and Randall said yes
author7,i suppose
author5,@everyone you down to try for tomorrow? I've got the itch.
author5,not today
author6,fyi if theres pathfinder i cant do it today
author6,tristins not here so i became gm
author6,its alright me and law are exploring arounf the tuskwater rn
author10,This is gonna take at least another 30
author4,Whole world revolves around her
author7,you fine
author4,Gonna be late because my sister is a bitch
author10,maker of kings
author25,I vote kingmaker
author5,What would everyone want to do tomorrow? cause I'm down for Way of the Wicked or Kingmaker.
author10,that doesnt seem right
author12,"<@146626274066956288>  :game_die:
**x10**: 5d6 (4, 4, **6**, **1**, **6**)
**Total**: 21"
author4,Gorgar says he he he ha
author2,<@613394585330253844> avinash with the buffs got some crazy damage
author4,Makes more sense
author2,no thats magma
author4,Wait is that Empyreal?
author2,def LG
author4,I will :)
author2,keep this in mind
author4,Will get on that lmfao
author4,So the Eastern & Planar + New ones
author2,New ones + old paizo ones
author4,The new ones or the old ones
author2,We need a rating on a scale of 1-10 how Gorgar feels about each species of dragon
author4,Oh 100%
author2,I bet he’d have good opinions on politics
author4,I like this guy
author2,in the other westmarch rogue is by far the most played
author2,"No Animist, Bard, Barbarian (Fully), Cleric, Gunslinger, Magus, Psychic, Rogue, Sorcerer, Witch"
author2,current makeup
author4,"Anyway
We still have another session until Libarby yeah?"
author2,outside of just making it'
author2,I still need to do a lot of the other stuff related to this map as well
author2,The map I'm talking about has had a whole day dedicated to it and is still not done
author2,nah. The map or maps for that session was/were easy(ish)
author6,It better be
author6,Is it the orphan's soon to be college?
author2,I have put too much time into a certain map
author2,hows it going
author2,uno mas
author2,Hmm. A message was deleted
author2,You've told me that but this is the first time I've seen it in an official capacity
author4,Also your spade as black
author4,Wym I described the door in the kobold mine as black?
author7,bro is a whole. ass. unit.
author2,shoulders alone are like a large creature
author2,man he is so squat
author2,I have been told it is but this is the first time actually seeing it
author2,also this may be the first evidence I have personally seen of adamantine being black
author2,Adamantine golem built different
author2,In the end awakened animals will end up just being a custom ancestry
author13,If we ever get that far
author13,Yea I need to learn type 1 and give it to awakened animals anyone plays lol
author13,Could be a solution but could be fucky with allowed starting gold amounts or whatever
author13,What does it cost to make a tiny bag of holding or equivalent tool that furic could give to awakened little animals to let em have normal inventories
author2,Sprites and Poppets can both get tiny
author14,Cause Pixies are a thing
author14,I think there are rules that reduce the bulk of tiny objects
author13,I would be down for an alchemist crow though. But i feel like he wouldn't be able to carry jackshit without being over carry weight.
author14,"Through the power of friendship, your familiar becomes a valid target for Awaken Animal"
author13,Bro you know what I mean
author14,Technically none of this is real
author13,Especially as a familiar with the familiar specific wizard subclass thing
author13,"Nah it's a familiar, not a real animal. Not sure how that'd work"
author2,cast it on the crow and make it alchemist lol
author4,This is enlightened
author13,lmfao or something similarily dumb
author13,"I have asked if once Furic can do level 7 rituals, and if Furic learns the Awaken Animal ritual, i am playing a character whos an awakened squirrel rogue"
author13,Just so everyone knows
author2,"btw cause it is relevant to multiple people
Oculan was changed from Gold and Silver dragons to Empyreal and Sky dragons"
author13,"Basically ima drop 3 sessions worth of summaries, get 60 exp, then use 4 days of downtime to get level up. Can the rest of my downtime be me spending 80gp to get lvl 5 house with a ritual room?"
author2,fair and valid
author13,My internet just went out and idk why
author1,added context:
author4,This ^
author2,Lots of NPCs
author28,Oh yeah I forgot to do that thanks
author4,We are fucked
author4,Oh no the Pharaoh is using sacred geometry
author4,Tristin doin the forbbiden metamagic
author2,Follow up on a scale of 1-4 how many?
author2,bringing down the average I see
author28,Oh well
author28,I assume you're asking the success of the last campaign
author29,what does this mean
author2,On a scale of 6-21 how many?
author2,"Rome, Furic, and Gorgar all one decent session from 5"
author2,surprisingly no level ups that session
author6,Rome roaming inspired me
author4,<@151489352164311040> the mission name is killing me
author29,*o h*
author2,<@613394585330253844> Avinash has been under leveled for a couple sessions
author2,Finished one story mission. Gained two more.
author2,If anyone requires me now would be a good time
author13,I apologize. Shit kinda hit the fan and I had to fix some shit
author13,Shit happened and I was driving around in a panic. Completely forgot a session was tonight somehow
author2,allows me to vet people outside of nepotism
author13,The new people thing
author13,Oh right
author2,look in the guild
author13,The what
author2,The test oneshot has been initiated
author2,imma say just old so we dont run into problems
author6,Is that a choice that can be made for new characters? Or just old ones?
author2,"I dont think there are any pre-remastered characters, but with the archives release I will restate that you can choose to stay legacy or switch to remaster"
author2,There is one character who is prob from there but I don't remember if they asked yet
author2,also no
author4,Funnier if its blackwater
author4,"Which one
(Is it Ironspire)"
author2,Paizo stole the name of one of my towns 😔
author2,Gonna wait till when archives updates to organize grimy gremlins so people don't get confused
author2,A lot of level 2s so I imagine more will come up soon
author2,3 have been given
author2,I think they are good
author2,anyone missing a story mission? If you are level 3 and I have your backstory you should have one.
author13,"You dont understand, I HAVE TO USE THEM ALL"
author13,I think autocorrect got me. But idk how it became hand
author2,Yeah. Hat though
author13,<@318536129727168512> should I just add a new Hand of the Magi item to furic then? For his Arcana +1?
author2,unsure exactly how it works but we have this now
author2,I have given them to most people who use unarmed attacks
author2,The summoner has been linked to the summon
author2,but it works off the base system and needs the handwraps to put the runes on
author2,No I added something that does runes automatically
author4,Wait did you disable it entirely?
author2,One note about this is that players who use unarmed will need to add handwraps to their inventory and invest them
author2,One benefit of this is I just gained the ability to make a summoner and eidolon share a health pool
author2,Its nothing crazy. Just level 3s were automatically getting a +1 to a skill and now they aren't so I'm giving an item to compensate.
author29,Good thing i'm not level 3 yet because I don't understand what these words mean
author14,Glad I got that tattoo on sale
author14,Ooh yay I get another skill item
author2,"<@&868889886839689217> I am going to be changing Automatic Bonus Progression slightly to Automatic Rune Progression 
- Now only fundamental weapon and armor runes will progress
- Special staves and kinet things will still be given from story missions (for casters)
- Anyone level 3+ will get a free +1 skill bonus item (run it by me so I know you aren't grabbing some weird op item)
- Skill bonus items will no longer be half priced"
author14,Finding my boat
author2,aka probably
author2,you have not found out
author13,Was there ever a reason to follow the shamblers path more?
author4,Gorgar in particular may start looking for the Oculan Knight at some point (and/or visit home)
author4,Maybe head out to meet some of the starting NPCs
author4,"~~Your mother after I finished with her last night~~
Whatever war the found out about with the Goblin
Sending da orphan to college
Lich Phylactery shards and/or the orb"
author4,Undead Dragon
author4,"Leshy
Dante"
author2,What all loose ends can you guys think of?
author4,Oh dear
author2,Boys! The plan is grimple
author2,made a thread so I can store all the ways karma can take effect
author2,This confused me for a sec
author2,or got discord banned
author4,Guess he deleted the account?
author4,Hmm I wonder why that happened lol
author13,Oh. Now I feel dumb. Perhaps I'm low on sleep lol
author14,oh lol
author2,is the guy who got banished
author2,deleted user
author14,I might be forgetting something
author13,<@554770810556907540> am I missing something here?
author2,this is so appropriate
author14,Alchemical Bomb for the favored weapon
author14,Cleric of Laudinmio is kinda weird
author4,I got 580 xp]
author2,btw the push your luck rule was a great success
author2,champion dedication
author4,This is before my characters actual ones
author13,What the hell did I miss
author4,Help me
author4,LVL 6 MONSTER SLAIN
author4,ROWDY PETE WILL NEVER SEE THE CONSEQUENCES OF HIS ACTIONS
author2,And until Tuesday night
author1,thank you
author2,Foundry up over night
author14,"I'm pretty sure I can throw this up to 60 feet with better accuracy than my crossbow, and deal more damage"
author14,Instead of a crossbow I'm frankly terrible at using
author14,I should get one of these as my backup ranged weapon https://2e.aonprd.com/Weapons.aspx?ID=336
author2,<@589289513788899348> dont forget to level
author13,"I mean I only said that because he described yall as ""sick nasty"" lol"
author4,This is funny cause the campaign is about a werewolf plague
author13,You could run a dnd/pathfinder 1shot like a werewolf game now that I think of it
author2,nah we good
author13,Oh. Fun. Enjoy being cursed then
author2,werewolf hell
author13,"Jk jk, no clue what campaign yall playing, have fun. Just curious because I saw so many in there"
author13,I hope the dogs give you a disease lol
author2,nah we are sick nasty
author6,Just a lot of dogs
author2,lol lol
author13,Anyone dead yet?
author6,Session for different campaign lol
author13,Damn why so many in voice chat lol
author6,Learn create water and then repeat cast it so the crab can always swim
author2,ride it in the water
author14,"Can't ride it until next level, but it's slower than me anyways so meh"
author14,And the Cavalier Pledge I'm making is to the Wayfarers
author14,Next purchase goal: Barding
author14,Sir Jelly of Crabsford is ready for battle
author14,Token added
author14,I like it
author2,"It is a mix of scorpion, crocodile, and snake"
author14,Oh this support benefit actually works really well for my build
author2,folders act weird
author14,Okay cool now its working
author14,Am I supposed to be able to see its stats?
author2,I called it jelly
author2,It should be in the folder with your characters
author14,In which case I still do not have access but it is for a very different reason
author14,Unless I am being stupid
author14,I do not have access to its stats
author2,btw if anyone has something uncommon (or rare) in their gameplan let me know so I can set it up for you
author2,crab added
author14,"If I go for anything above a bachelor's, I defenitely won't be doing both"
author4,"Idk though I wouldnt know
I always struggled with Chem"
author14,"Damn, yeah that's harder stuff than I'm doing"
author4,He got special permission to sub a bunch of undergrad classes to double count credits toward a doctorate
author4,"Fair enough
Most of the stuff my friend does at this point is graduate level I suppose"
author14,Maybe it gets harder tho
author14,Beyond that only about 15% of each course is new information
author14,Biology is pretty trivial in terms of the classes I've taken so far... the biggest problem is remembering the names for everything
author4,"Damn
My buddy is a chem major
And the shit he does is above my head
Cant fathom doing both chem and bio"
author14,The most difficult classes I've taken are  math
author14,It is not as difficult as people say it is
author6,I call exploring danger
author14,Biology and Chemistry double major
author4,Chem E?
author4,Wait whats your major?
author4,Super bowl is boring af
author6,You should put the key either somewhere on the map or in the 7 kingdoms journal
author14,I'm doing organic chemistry homework right now... any means of procrastination is welcome
author2,2 people joined instantly
author2,damn that was quick
author2,"red: danger
blue: friendly
green: ally/safe (you can start a session from these)
grey: neutral"
author2,Color coded the map icons
author4,Found that feat that got brought up the other day
author2,I watched most on release day
author4,Rules Lawyer video
author2,I stopped Oliver from dropping a weapon
author2,Yeah I've known of it
author4,I found out last night
author4,Oh really
author2,Came up this session
author4,So no more dropping weapons as a free action lol
author4,"As a side note for everyone
The pf2e remaster apparently added this line to interact"
author28,Y'all imagined a goblin with a gun following you
author28,I guess I wasn't there today
author28,Oh yeah I forgot to register my character
author2,Love that I cant delete those rename messages in this sessions thread
author2,But this is a trial so it is repeatable
author2,If you guys get strong enough you could try to deal with the big thing
author13,"oh got it, not as exciting"
author2,it shuffles each time
author2,the other route would be basically the same except with different bombs
author13,"well now i wunna schedule another session where we go down the other route, i want to gamble on that d100 more"
author4,Train a bit late should be on time still
author13,my character is just gunna bonk everyone
author2,It makes a smaller point of impact on the shield
author2,Its like frying pan vs baseball bat
author13,"So my character has everything shield related, and the shield boss is a wierd addition, is it just a hunk of blunt metal to smack people with?"
author28,Once I get home
author28,Speed run time
author28,Oh dear
author13,My dude has way too many reactions currently lol
author28,When is campaign start?
author6,The caves require it so
author28,"I swear I'm almost done with my character, the past few days have been busy"
author13,So is this a all level 1 mission
author13,"also my ac gunna be shit until i get some gold lol, i skipped out to save a little gold ill admit"
author13,i dont know why lol
author13,every time i touch my character it puts a popup saying i already have glimpse of redemption
author2,Vorc the Dork Orc Sorc of York
author4,Vorc the Orc Sorc of York
author13,Vorc the Orc the Sorc
author4,Omw to make Vorc the Orc
author13,"i need to find a image, lets see if i can find a temp one"
author6,V is a strong orc letter
author13,lmfao did we both make orcs with names that start with v
author13,Thank ya
author2,it up
author13,"I dont have an image for him yet unfortunately, is that fine for one session?"
author2,Yeah I can
author13,<@318536129727168512> would you be able to turn on foundry so I can upload and make sure he is added correctly? Or is it open currently?
author6,Tattooed orcs are lit
author2,More holdscarred for that matter
author6,"Personally I would be fine with it, more orcs the merrier"
author2,If anyone wants me to put a character into foundry feel free to send me a copy
author2,<@589289513788899348> <@287398314796908545> don't forget to put your characters in <#868890602186608670>
author2,pathmuncher is now working and hybrid should be fine. The hybrid session for sunfire didn't have any issues related to it being hybrid.
author13,Maybe not
author13,Fuk I also need to upload him
author13,But that's only if all the members are fine with it because idk if it'll work well
author13,If we end up wanting to try hybrid I'd join with my new orc shield dude
author4,Yeah L you
author2,On my end
author2,No. Maybe a mobile issue
author4,"Weird
Fix it or no?"
author2,For me the what line is up with the names
author2,No but the what? is a bit off
author4,I miss anyone <@318536129727168512>
author2,"Ethical is kinda like laws (think code of ethics)
Moral is like learned from community 
Personal is an ideal that is different from your peers"
author2,"Ethical, Moral, Personal"
author2,Just listened to a very good way to construct edicts and anathema
author2,<@287398314796908545> welcome back
author7,based honestly
author2,he's just really passionate
author2,guys the slavery god isn't bad
author14,I may use that at some point
author14,Turns out if you go far enough North or South you just walk into the Plane of Metal
author14,"It would also be very hard to have a magnetic field (for both compasses and living purposes), but that isn't very relevant for a fantasy setting"
author6,You can thank the star god for that
author14,Stars all wonky
author14,"If it is, then the methods of navigation they used for earth wouldn't work here"
author6,Implying Agrios isn't flat smh
author14,It would be good to know for ocean navigation anyways
author14,Van will seek out this information next time he's in a large city
author14,Surely somebody has calculated the diameter of the planet by now
author2,me to know
author14,Unless there are other continents out there
author14,"This setting also seems to be physically smaller than Golarion, so this makes a lot of sense"
author2,Putting the mythos on paper and it's making a lot more sense than I first thought
author4,Yeah cause no character can match the swagger of Cayden
author2,fun fact. For reasons. All of the gods on Agrios (this setting) are weaker than most Golarion gods.
author2,Best party icon
author2,I win
author4,You da best chief
author4,Hold on it gets worse
author4,The panache effect is so overkill
author4,Let me grab Bon Mot
author2,ben shapiro lookin
author4,Reminder don't forget to swap you current character in foundry before buying items :(
author4,"Yeah it's getting stuck on my ultra rare ancestry
Halfling"
author4,I see :/
author2,I updated modules yesterday although pathmucher has had issues for a bit
author4,"Hey Tristin is Pathmuncher up to date?
My stuff is hanging
I can enter it manually if need be but"
author2,or Osirion
author4,"Tristin has also expressed a lack of desert giant art before
And that the ones that do exist are ugly as sin"
author2,or hero forge
author4,"If I had a nickel for every time I've heard this
I'd have two nickels"
author2,look up egyptian people
author14,I mean there's this guy but he'd probably work better for a fighter
author14,There isn't very much art for desert giants
author4,I'll show you spam
author2,1 down 2 to go
author4,Ie a new map would be downloaded
author4,I was making a joke that the world  would end when the orb hits 100%
author2,I think he was referring to the orb having a %
author2,I think he is buggin buggin fr as they say
author13,Didn't want to put questions and stuff in hall
author13,New map? What?
author4,"Yeah thats how I've always used ruler
Didn't know about the right click pop out"
author2,If you right click a tab it does the pop out tab
author2,If you just hold control and drag click it uses the ruler tool
author4,Fair (doesen't hurt to have it in more places)
author2,shops will be included
author2,Currently working on statting all the settlements you've been to
author4,Added tat shop as well
author2,"The slain founders were from Enidor, Oculan, and Thetis"
author4,"<@318536129727168512> Anything I should add to that summary?
Trying to make it descriptive for the people who missed it since it was plot heavy"
author2,bro up to something
author2,Sovi Datarus
author2,You could of. It is Sovi
author2,The queen?
author4,Did we get girls name?
author4,"Black night was Enidor
Girl was from Datarus?"
author2,and Brainy Bin
author4,Surefoot something
author4,What was kid named again?
author2,god I love making the stat block for the goblin settlement
author2,Ulmus Bovia and Vurgas
author4,And Thetis king was Ferguis?
author4,And how you spell Bovian Kings name?
author4,Cabby guy was named what again
author2,12 days
author2,longest in world mission so far
author6,Bovia Blast
author1,this sounds good.  thank you again
author4,I like King of Bovia btw ||https://www.youtube.com/watch?v=KGmXGkIr7w0||
author2,The Hall can be rp outside of the guild
author2,I will probably skip through travel a bit more in the future or at least make it brief and leave some of the other stuff for sessions focused on that or rp chat.
author2,standable. I did account for that part time wise a bit better but it still could have flowed better. Everything leading up to you arriving at the council was 3 hours and then everything after was 2.
author4,"Did have fun to be clear just time constraint pain got me jammed up
I was working on hw the last hour of the session or so"
author1,"it was good dw, not criticizing too hard. just felt like it would have worked better if it was more ""x, w, z happened, what do?"" instead of ""x happen, what do? y happened..."""
author4,"I think the travel should have been minorly railroaded
Like removed the option of ""anything you want to do"" at each checkpoint (Though I was glad to see Fennek on the up)"
author2,I didn’t want it to be too choreographed incase you guys wanted to step in
author2,Plot stuff
author4,I made a bunch of skeletons that the party couldn't damage really with a ass ton of hp
author1,bone shaped meat grinder
author1,skeleton grinder
author29,Can I have the skeletons
author4,Basically I made an oopsie when I was still a pretty fresh dm in 1e
author1,you dont want to know
author1,i will say after getting there the social stuff with the royalty did feel like it could have been condensed
author4,~~Or the skeletons~~
author4,~~Please do not invoke the Archon's name~~
author2,That part was good on time. Leading up to getting to Cliffhall was the issue
author4,"I consider 3hr the magic number
5hr for one shots and climatic sessions"
author1,imo running off to find shops and sketchy theives is fun but it takes a while to do every time
author2,At least in the case of pit stops
author2,Will do. Will probably try and leave looking around for their own sessions.
author1,agree :)
author29,3 is a good time
author4,But yeah I would prefer next session be closer to the 2.5-3 hour mark
author4,Gorgar on his way to Oculan
author29,That's what the next mission is
author29,Next session let's commit genocide
author6,"I vote we murder hobo, that would have been so much quicker if we just killed the king first thing"
author2,Today's was kinda long cause I didn't want to rush too hard through the travel
author2,Wednesday ended up not being too bad but yeah this one and the Gorgar one were
author4,But they have been plot focused ones so
author4,As a seperate note session have been kinda long recently
author2,arcane scroll shop at that
author4,Aight so <@244474569102983168> Scroll shop located
author1,delete this
author4,Look I wasn't seeing enough schmoovment
author4,All aboard the Gorgar express we can all go 7 hexes instead of 5 when I'm around
author4,"Tristin do you mind helping me with some stuff rq
I got stuck on the retraining"
author2,-Blink doggos
author4,+160 total I believe
author13,+20 +20 +20 +20...
author13,Gorgar be getting that exp
author2,ye you can
author14,I do not have a practical application for this but making an entire suit of armor from some stuff you have laying around is funny
author14,Could an alchemist make one of these with reagents?
author2,6 down
author14,Herbalist isn't such a bad idea
author13,Alchemist who just cooks up pastries
author2,Flavored herbalist or alchemist
author14,Or something along those lines
author14,Is there a chef or cook archetype?
author15,i can hear that lisp and jive talk plain as day
author15,words cannot describe the double take i did thinking you just said Dusty Rhodes in that sentence
author14,"The shield block increase won’t scale well, but having shield at will is still useful"
author14,The Dusty Rose Prism one is interesting
author4,It's not like she won't restock eventually
author13,"Being undead has me buying every possible healing source, in sorry lol"
author13,Those ones are the healing 1hp per minute
author13,So they should have 2 left if I am correct
author2,I saw that
author13,"For general knowledge, I bought a pearly white spindle aeon stone"
author2,and go through and put stat blocks for the cities and merchants you have been to
author2,Because I get the feeling it will be asked tomorrow I am actually going to prep merchants this time
author4,"A variety
I bought a Pearly White Spindle
I think she had 3 left of that one"
author14,What kind of aeon stones did they have?
author14,Oh I just saw this
author13,"Let me know how the escort mission goes, sad I'm missing a social quest"
author4,Numbing tonic goes crazy
author13,I never buy em.
author13,"I dislike temporary buffs, personally"
author14,I might just want to save up for a Crusher rune and a couple War Blood Mutagens
author14,"I'm still thinking about it, don't burn your downtime on it this time around"
author4,As a note to people who dont know we did find an aeon stone shop
author13,<@554770810556907540> do you actually want a elemental Sentinel though? It's kinda expensive so I gotta ask
author13,"I said my unavailability in general because I was gunna bring up getting a puppy that's gunna chew everything in sight, but it very quickly just became scheduling lol"
author2,To scheduling with you
author13,I'd be down for 6 imo
author4,I was thinking maybe the escort job Fri at 5 or 6
author29,Did one session and now I need *more*
author13,"But Saturday to Monday I'll be out of state, getting a puppy with my mom because she hates driving hours by herself lmfao"
author29,*I'm available most days*
author13,Friday I think I'm good. I think.
author4,Wb Friday?
author13,"Well I'll be unavailable this weekend, so if anyone schedules I won't be there"
author2,Yeah. Spell level dc + 5
author13,Its always a very hard level dc
author13,Rituals are hard
author14,For a level 1 ritual?
author2,Nah the dc is like 21
author14,It’s not even a crit fail cause you made the DC
author13,That thing actively trolls you lol
author13,Technically the 5% is worse than a failure
author14,"5% chance of failure, and 45% for normal success"
author14,So against level 1 DC that’s like 50% chance of crit success
author13,"Its +2, so I have a +14"
author13,Forget which it is
author13,Plus I got ritualist so that's like an additional +1 or +2 to it
author13,"Well, that and the DC for Rituals was something I was confused on"
author14,Oh yeah cause you're level 4 now
author13,Its actually higher for a good result
author13,My chances on bazaar are incorrect
author14,Seems potentially useful
author14,I might get an Elemental Sentinel from Furic
author4,But it seems kinda mid till 8th level
author4,They can get soul synchronization which seems pretty good
author4,"It looks like its built specifically for war of the immortals
Otherwise it seems to let you be a tad tankier
Definitely seems pidgeon holed though"
author4,As well as playtest if you ever need the playtest again
author14,I still don't know why Sage is a thing
author4,Tristin has a module for it in pathbuilder and foundry pinned in 2e resources
author13,Sage or channeller it seems
author13,"Which ones the better one, I'm only reading it for the first time now"
author14,"They've only got two ""subclasses"" and one of them is definitely better than the other, but overall they look pretty fun"
author14,They're pretty cool
author13,I kinda want my 2nd character to be an animist
author14,But it's on the list for party comp so I assume it is allowed
author14,idk if it's in foundry yet
author13,Like is that on archives at all yet
author14,I'll dig it up real quick
author13,Can I find the animist info anywhere?
author29,I saw it yesterday . Poor jellyfish
author14,"No, it is evolving"
author13,"He had a jellyfish pet before, and now it's being thrown away like trash"
author14,And I can knock people over if I want
author29,Crab is good
author14,tldr; I have a giant crab and I hit slightly harder than I did before
author14,It'll still be named Jelly
author14,I'm upgrading Jelly into a giant hermit crab
author13,Rip jellyfish
author13,Were you the one with the jellyfish
author14,"Okay, the plan:
Retrain Witch archetype to Cavalier
3rd Level - Expert in Athletics, Untrained Improvisation 
4th Level - Knockdown, Titan Wrestler, Impressive Mount (Free Archetype)"
author14,And Fleet's kinda useless to me too
author14,Especially because I don't really need any Inventor feats from 1st or 2nd level
author14,I suppse Knockdown would be a good investment so I have something else to do with my two actions other than Power Attack
author14,I don't even really need Furious Focus anymore because I'm gonna have a crab who can attack for me on that third action
author14,It's kind of funny how few of the actual fighter feats I need to make my build work
author14,Oh it only works for treat poison and treat disease
author14,So I can battle medicine using Occultism instead of Medicine
author14,I think I'm gonna pick up Crystal Healing instead of Fleet
author4,Normal Van Karthy things
author14,And I'll be retraining to get a giant crab mount soon
author14,Level 3!
author2,Vorche (Crab Master)
author14,Okay coming now
author14,May be 5-10 more minutes
author2,regional languages added to the slides. They are all derived from preexisting languages that are listed. Basically American English vs British English kinda thing. If you understand one you understand the other.
author13,"Finding better modules n shit, making maps, etc."
author13,"Can I just say I've been starting a foundry for a few friends to test dnd 5e and I vastly appreciate what you've done for us all the more, tristan."
author2,helping noob
author13,Damn who's having a party in voice channel
author14,Probably true strike just because I can't both Power Attack and Spellstrike at the same time
author14,Do I want True Strike or Spellstrike more
author14,Considering retraining my Witch archetype into Magus
author6,I am going to assume prop not until full release?
author6,Did they ever make archetypes for exemplar and animist?
author2,May have to risk adding some weirdos. We'll see.
author2,I especially like fated shot and noble branch (prob cause they aren't basically copies of fighter feats)
author2,All the weapon ikons are fire
author2,Looking at exemplar again and man is it cooler than I remember
author2,"<@613394585330253844> 
> ## Welcome to The Weastern Marches
> Now that you have joined you can get information on the campaign in <#868890485899526185> 
> If you have any further questions you can DM me or ask in <#1154848615773253682> 
> ### Making a Character
> Once you have your bearings the first thing you'll probably want to do is make a character
> [Archives of Nethys](https://2e.aonprd.com) will be your go to for info on pf2 and [Pathbuilder](https://pathbuilder2e.com) is the easiest character sheet to start
> Once you have a character you can register it in <#868890602186608670> 
> The last step is to make sure you have foundry set up which you can see how to do [here](https://discord.com/channels/793006067361120256/1154848615773253682/1164242182169968719)
> ### Getting into a Session
> Once you have a character you can head over to <#1090015040389779647> to work with other players to schedule a session
> Once you have a group, time and goal you can follow the template in <#1113467077873913866> to officially schedule it"
author4,No in 2e :(
author1,yes him
author4,Smh rude
author13,Technical difficulties
author13,my dog is snoring behind me
author2,and my ass just ran up on it cause Im blind 😔
author2,last one is the fucking bird
author2,all but 1 ingredient obtained
author2,not as good looking as great jagras
author16,top 5 best looking monsters
author2,big boy
author16,time to main glaive
author2,I cant sell it
author16,i spot a lonely kinsect
author16,thats a lot of bows
author2,I got all pre-elder bows
author16,which is reasonable considering what they are
author16,the highest level monsters would be level 26
author16,"well technically
going by its first appearance, it would be level 23"
author2,there will be some exceptions
author16,Instant death
author16,Lvl 101 ruiner nergigante
author2,here me out. Make all the monster hunter monsters in pf. And you can just make their level equal to the HR needed to fight them + 2
author2,I imagine that will (if scheduling allows) give everyone a solid chance to play each week
author2,I’m thinking for session restriction I do: if you have participated in a session that week (mon-sun) you must wait till day of to join.
author13,idk why
author13,"Actually i might not today, my games stuttering a lot"
author13,will soon
author13,shit weapon
author13,anja still
author2,when you are free
author2,<@244474569102983168> we got a session if you want to join
author13,funnily enough im currently in a expidition fighting above my paygrade against an anja
author2,I accepted it
author13,<@318536129727168512> i sent you one earlier
author2,odogaron is next so I am more than willing to punch down
author2,<@244474569102983168> you wanna add me on steam
author2,Yeh it was a joke. Legiana is dead
author13,"i forgot theres requirements, nvm"
author13,or would i even be allowed
author13,I will although im only hr 2 lol
author16,she could be Mr. T from resident evil
author16,it could be worse
author13,So much drama
author13,These scenes are so tense
author2,wanna help me with legiana
author13,Great Jagras is dead. Which means the handler is the only fatass remaining who id like to remove from the local area
author16,would keep stuffing her face with food
author16,there could be a war starting and she
author2,Odd mine isn’t a cat
author16,and yes handler is obnoxious
author13,"When i rejoin MHW while the game has an in-game event and the Handler (whos so annoying, i forgot) is in a literal cat suit"
author13,Well okay then
author13,"If yall are serious about playing world together, should I just put my steam friend code in this chat for yall"
author2,"earth, water, electric, and fire beat"
author13,Oh God all my friends are messaging me about palworld or whatever the new slavery pokemon-esque game is called
author16,but without the benefits of being able to turn into a werewolf
author4,So lycanthropy
author16,and could only be cured through high level magic
author16,a magic prion disease would give stacking penalties to mental ability scores
author4,I feel loke ghoul fever is just a magic prion disease
author16,"thats how you get a prion, not ghoul fever"
author4,Okay but like what if you just do a lot of cannabilism and hope wedigos dont get you first
author2,You feel fine for 6 days after a ghoul bites you and then just perish
author2,Because it does negative damage it does nothing until stage 6 at which point you just die
author4,Vampire L
author4,Damn no protective penumbra in 2e
author2,ghoul fever just kills them
author2,unfortunately skeletons can't become ghouls
author16,yes thats the problem
author2,that requires you to find a vampire
author16,and then just die in a method of your choosing
author16,or pay someone to mummify you
author16,you could also go around throwing yourself at vampires asking to be bitten
author13,thats funny af
author2,Just try a bunch over a week and eventually you will be ghoul
author16,does it prevent you from casting it on yourself
author2,cause there is a spell that lets you inflict it
author2,ghoul you don't even have to ask
author16,"cause that one is just ""have a pc die and ask your dm"""
author16,ghost is the easiest
author2,ghoul is pretty easy
author2,I'd allow you to have an umbrella or something and be fine
author16,like Striga's day armor in Castlevania s4
author16,ie does wearing full plate allow you to go out during the day as long as you're fully suited up and never remove it
author16,although that depends on what you consider exposed to direct sunlight
author16,also taking vampire archetype makes you entirely incapable of doing anything during the day
author2,I think that just depends on GM
author16,the prereqs on the undead archetypes are really restrictive tho
author2,it just had some oversight
author2,I think it was a good idea
author2,they all give basic undead benefits same as skele
author2,"vampire, zombie, ghoul, lich"
author16,idk anything about the dedications
author2,I think the ancestry isn't any different from the dedications
author16,"i mean personally if I want to play an undead-associated character I'll just play a dhampir
partly because i think vampires are cooler"
author16,i feel like adding a fully undead ancestry might have been a mistake with how much headache it can cause
author2,They have a lot of stuff pointing in opposite directions
author4,Correct lmfao
author2,The 2nd is the problem child
author4,"Cause rn from what Ive gathered they are
An undead creature, treated as living, and have selective undead benefits"
author2,I feel like someone has to have brought it up at a Q&A or something
author4,It just needs a forum post or something
author2,yeah but players don't typically heal npc undead. I guess it could be useful in the case of undead companions but outside of that idk.
author4,Look Furic just has some crazy phantom limb syndrome
author4,Technically stich flesh works on anyone with the Undead trait which the race has
author16,at best it would just collect in the pelvis
author16,i feel like thats physically impossible as well
author2,Which in most games doesn't have much effect
author13,got it
author13,but somehow we can drink
author2,I have generally ruled it as no
author16,"which now makes me wonder if skeletons need to breathe
they aren't called out as not needing to
but they entirely lack all organs aside from the skeletal system, and are thus physically incapable of doing so, without any kind of alternate like the automaton's venting"
author2,and it was introduced alongside the undead player stuff
author2,My computer would not work well in a void
author2,cause it doesn't really have much of a use case otherwise
author2,I was just saying it supports the idea undead pcs should be treated as non-living
